Date,Close,Open,High,Low,Vol.
2023-12-28,78500,77700,78500,77500,17797536
2023-12-27,78000,76700,78000,76500,20651042
2023-12-26,76600,76100,76700,75700,13164909
2023-12-22,75900,75800,76300,75400,14515608
2023-12-21,75000,74600,75000,74300,13478766
2023-12-20,74800,74200,74900,73800,16870156
2023-12-19,73400,73000,73400,72800,8907632
2023-12-18,72900,73300,73400,72800,9690551
2023-12-15,73300,73800,74000,73200,15419815
2023-12-14,73100,74100,74300,72500,27567593
2023-12-13,72800,73300,73500,72800,13116766
2023-12-12,73500,73300,73500,73100,13758646
2023-12-11,73000,72800,73000,72200,9861960
2023-12-08,72600,72100,72800,71900,10859463
2023-12-07,71500,71800,71900,71100,8862017
2023-12-06,71700,71800,72100,71600,8123087
2023-12-05,71200,72300,72400,71200,12129682
2023-12-04,72600,72800,72900,72400,10229267
2023-12-01,72000,72400,72500,71700,9871284
2023-11-30,72800,72700,72800,72200,15783714
2023-11-29,72700,72400,72800,72200,9283933
2023-11-28,72700,71400,72700,71300,13283081
2023-11-27,71300,71500,72100,71100,9113857
2023-11-24,71700,72400,72600,71700,6676685
2023-11-23,72400,73000,73200,72200,6775614
2023-11-22,72800,72200,73000,71900,11105143
2023-11-21,72800,73100,73400,72700,9712881
2023-11-20,72700,72100,73000,72100,10610157
2023-11-17,72500,72300,73000,72300,11494644
2023-11-16,72800,72500,73000,72300,15860451
2023-11-15,72200,71600,72200,71500,20148677
2023-11-14,70800,71000,71100,70600,9567984
2023-11-13,70400,71300,71300,70300,9246919
2023-11-10,70500,70000,70500,69500,9684347
2023-11-09,70300,69900,70800,69600,12301373
2023-11-08,69900,71300,71400,69700,12901310
2023-11-07,70900,70600,70900,70000,17228731
2023-11-06,70900,69800,70900,69300,22228489
2023-11-03,69600,69700,70200,69500,10322234
2023-11-02,69700,70000,70000,69400,16350031
2023-11-01,68600,67500,68900,67300,13775256
2023-10-31,66900,67600,68300,66900,14488892
2023-10-30,67300,66800,67800,66700,10139270
2023-10-27,67300,67100,67300,66700,11334726
2023-10-26,66700,67000,67900,66700,15517624
2023-10-25,68000,68800,68800,67900,10610703
2023-10-24,68500,68700,68800,67700,12791710
2023-10-23,68400,68700,69100,68200,11625959
2023-10-20,68800,68900,69200,68100,15204495
2023-10-19,69500,69700,70000,69400,13985012
2023-10-18,70500,68900,70500,68800,16493184
2023-10-17,69400,67700,69900,67400,17299253
2023-10-16,67300,67900,68500,66800,12599299
2023-10-13,68000,68000,68500,67700,9724086
2023-10-12,68900,68600,69700,68200,19311380
2023-10-11,68200,68600,69400,67900,25209349
2023-10-10,66400,66200,67600,66200,19889202
2023-10-06,66000,67100,67300,66000,14386527
2023-10-05,66700,67300,67400,66700,16108313
2023-10-04,67500,67400,67700,66700,23361149
2023-09-27,68400,68600,69100,68200,14886491
2023-09-26,68600,70000,70000,68400,13143470
2023-09-25,69400,68500,69700,68500,13582516
